name,gender,sub1,sub2,sub3,sub4,lab1,lab2,year,dept,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,regno,password,rowid
Richard Doram,m,16,67,28,28,48,11,2,EE,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2028722,Rd2028722,11
Khadak Singh,m,18,90,72,27,2,39,2,CI,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2019843,Ks2019843,12
Jacob Singh,m,62,29,56,56,31,1,3,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1120974,Js1120974,13
Chanderpal Anme,m,38,30,15,84,27,46,3,IS,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2091865,Ca2091865,14
Khalley Shore,f,9,13,17,95,28,32,3,ME,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2289104,Ks2289104,15
Robort James,m,53,4,53,14,11,33,3,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1076352,Rj1076352,16
Nermeen Danie,f,88,81,7,85,2,2,3,EE,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2022937,Nd2022937,17
Ronalled Kane,m,40,89,48,11,12,5,3,CI,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2008713,Rk2008713,18
Sunder Paal,m,93,15,35,85,28,17,4,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1667893,Su1667893,19
Mariam Rezah,f,92,9,45,15,2,2,4,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2298000,Ma2298000,20
Alex Paderson,m,58,53,80,93,9,23,4,ME,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1112409,Ap1112409,21
Susan Alei,f,93,90,33,52,19,37,4,EC,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1999456,Sa1999456,22
Peter Khan,m,91,71,61,24,2,18,4,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2223987,Pe2223987,23
Dinesh Kader,m,66,20,55,39,19,24,4,CI,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2556221,Di2556221,24
Arvind Kumar,m,90,27,96,66,9,41,1,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2963108,Ak2963108,25
Nausad Shera,m,65,69,1,56,31,45,1,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1735267,Ns1735267,26
Becky Arnolled,f,95,42,25,91,23,17,1,ME,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1195534,Ba1195534,27
Leslly Shane,f,48,67,47,19,47,42,1,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2901745,Ls2901745,28
Masuma Jaber,f,28,72,79,37,29,8,1,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1092647,Mo1092647,29
Kane Cameron,m,31,27,72,88,31,15,1,CI,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,2088901,Ka2088901,30
Hussain Ali,m,87,27,32,43,27,16,2,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2443178,Hu2443178,31
Jaswant Singh,m,24,84,53,89,42,7,2,IS,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2109346,Ja2109346,32
Sevak @ Pitambar Lal,m,77,74,68,80,8,39,2,ME,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1372683,Se1372683,33
Cameron Andreson,m,49,99,82,1,41,47,2,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2018735,Ca2018735,34
Lucy Bekam,f,62,13,81,57,44,30,2,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2197154,Lu2197154,35
Mirra  Sinder,f,40,95,59,15,47,1,2,CI,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1763521,Mi1763521,36
Dharam Singh,m,76,21,33,10,28,17,3,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2209871,Dh2209871,37
Manoj Yadav @ Manoj,m,63,78,77,4,22,14,3,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1103524,Ma1103524,38
Peter James,m,2,69,44,75,45,41,3,ME,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1209231,Pj1209231,39
Sara Adem,f,6,16,73,33,33,41,3,EC,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,2096621,Sa2096621,40
Kane cornor,m,33,15,13,16,43,15,3,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1187253,Kc1187253,41
Fillopps  sheron,m,27,42,74,23,17,29,3,CI,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2087112,Fs2087112,42
Riyasat Ali,m,36,27,54,60,46,32,4,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2112340,Ri2112340,43
Victoria allen,f,91,67,97,32,48,43,4,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1837544,Vi1837544,44
Sumit Surrs,m,16,72,23,89,1,23,4,ME,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2276153,Su2276153,45
Andria Adeal,f,75,40,66,5,12,28,4,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1187345,Ar1187345,46
Badshya Khan,m,12,52,47,78,3,48,4,EE,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2018763,Ba2018763,47
Vikey Jordan,f,66,55,3,52,17,13,4,CI,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2107357,Vi2107357,48
Daniel Kane,m,73,67,33,32,15,29,1,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2066351,De2066351,49
Mohan Singh,m,77,75,37,35,7,45,1,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1776245,Mo1776245,50
Hemant Homer,m,94,88,44,20,46,41,1,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2091867,He2091867,51
Sharon  Ben,f,54,37,98,7,49,12,1,EC,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2096653,Sh2096653,52
Ella richard,f,44,48,20,58,38,11,1,EE,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1287563,Er1287563,53
Alled rober,m,83,61,33,89,26,26,1,CI,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2095463,Ar2095463,54
Charllie Kane,m,85,45,50,14,26,46,2,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2873452,Ch2873452,55
Smith Merlly,m,59,30,73,7,1,12,2,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1074563,Su1074563,56
sanddra Sen,f,82,45,9,95,16,29,2,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2098756,Su2098756,57
Gajender Goldy,m,18,10,35,80,41,14,2,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1762453,Ga1762453,58
Peter anderson,m,45,29,90,65,28,4,2,EE,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2097534,Pe2097534,59
Azeez redha,m,77,2,37,38,14,40,2,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1009753,Az1009753,60
Muna Yousef,f,47,22,59,86,19,19,3,CS,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2985432,Mu2985432,61
Maneera Khaled,f,68,71,56,19,6,1,3,IS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2907645,Ma2907645,62
Sandra Charlot,f,59,1,77,30,44,24,3,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1097254,Sa1097254,63
Raja Babu,m,69,90,41,98,22,7,3,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2997634,Ra2997634,64
Rekkie Chris,m,3,45,46,2,15,25,3,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2085184,Ra2085184,65
Mohd Ataullah,m,94,96,17,76,37,44,3,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2065341,Mo2065341,66
Neeraj Kumar,m,65,92,59,68,9,6,4,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1128742,Ne1128742,67
Jamil Khan,m,47,81,31,66,19,18,4,IS,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2287645,Ja2287645,68
Raghad Adem,f,6,70,32,34,34,3,4,ME,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2066531,Ra2066531,69
Marry Sheron,f,83,41,85,35,44,6,4,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2445009,Mo2445009,70
Rahul Kumar,m,8,43,90,58,43,43,4,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,2029967,Ra2029967,71
Reachel chris,f,46,98,13,43,43,47,4,CI,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1145207,Ra1145207,72
Surajeena ,f,73,17,81,51,4,24,1,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2033452,Su2033452,73
Rizwan,m,1,94,15,8,40,30,1,IS,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2281064,Ri2281064,74
Mariam Mustafa,f,70,79,9,95,30,29,1,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2975413,Md2975413,75
Harry ,m,37,52,34,1,42,27,1,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1009555,Ha1009555,76
Richard chameron,m,84,20,75,57,30,40,1,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2099312,Ra2099312,77
Abbe ,f,37,61,19,76,13,8,1,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2007653,Ab2007653,78
Sara Yadav,f,54,9,69,75,22,43,2,CS,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1098546,Sh1098546,79
Anne brock,f,80,46,52,18,39,11,2,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2983251,An2983251,80
Mohd Aakib,m,80,93,99,27,38,42,2,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1563309,Mo1563309,81
Suzan ,m,20,50,51,59,31,8,2,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2648894,Su2648894,82
Amal Rady,f,44,40,73,87,4,22,2,EE,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1893564,Ar1893564,83
Rasool Sharma,m,24,70,57,42,49,46,2,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1870023,Ra1870023,84
Keshar Ansari,m,90,49,74,70,27,22,3,CS,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1438862,Ke1438862,85
Raju Chhotu,m,1,63,86,28,3,3,3,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1362409,Ra1362409,86
Kuldeep Singh,m,21,27,4,7,39,1,3,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1054378,Ku1054378,87
Santlal Golu,m,95,62,48,48,16,47,3,EC,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2887443,Sa2887443,88
Lalitla Rana,f,71,34,88,78,42,24,3,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2453780,La2453780,89
Pulkit Sharma,m,52,22,67,16,42,13,3,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2759467,Pu2759467,90
Arnold Ben,m,29,77,5,88,23,8,4,CS,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2000323,Am2000323,91
Meera Ahmed,f,81,64,33,4,7,28,4,IS,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2198452,Ja2198452,92
Christiphore Ray,m,70,6,37,63,33,25,4,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2003315,Ta2003315,93
Kailash Kumar,m,68,74,84,96,1,7,4,EC,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2807635,Ka2807635,94
Bhagwati Prasad,f,96,53,35,28,22,25,4,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2108563,Bh2108563,95
Richard ,m,27,61,47,72,30,15,4,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2009754,rd2009754,96
Silender,m,59,98,99,55,18,31,1,CS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,2367863,Si2367863,97
Reem Ahmed,f,36,20,54,20,37,26,1,IS,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2098732,ra2098732,98
Dipendra Kumar,m,51,48,51,10,47,27,1,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2308911,dk2308911,99
sarah alhouli,f,97,76,85,74,66,70,1,MSC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2028812,Sa2028812,2401
